event_id,station,p_t,p_prob,s_t,s_prob
texnet2024uznp,CW01,2024-10-25 13:58:44.517000,0.025,no pick,no pick
texnet2024uznp,GV02,2024-10-25 13:58:46.541000,0.004,no pick,no pick
texnet2024uznp,GV03,2024-10-25 13:58:45.279000,0.147,no pick,no pick
texnet2024uznp,MBBB6,2024-10-25 13:58:47.656000,0.006999999999999999,no pick,no pick
texnet2024uznp,POST,2024-10-25 13:59:14.760000,0.095,2024-10-25 13:59:16.020000,0.362
texnet2024uzno,OZNA,2024-10-25 13:57:31.135000,0.025,no pick,no pick
texnet2024uzno,POST,2024-10-25 13:58:24.275000,0.003,no pick,no pick
texnet2024uznd,CW01,2024-10-25 13:43:14.317000,0.16,no pick,no pick
texnet2024uznd,MB03,2024-10-25 13:43:14.394500,0.001,no pick,no pick
texnet2024uznd,MB18,2024-10-25 13:43:14.615000,0.001,no pick,no pick
texnet2024uznd,MBBB6,2024-10-25 13:43:15.348000,0.005,no pick,no pick
texnet2024uznd,SN02,2024-10-25 13:43:15.320000,0.003,no pick,no pick
texnet2024uzna,BB01,2024-10-25 13:40:44.955000,0.004,no pick,no pick
texnet2024uzna,HP02,2024-10-25 13:40:44.094940,0.001,no pick,no pick
texnet2024uzna,MB23,2024-10-25 13:40:44.405500,0.008,2024-10-25 13:41:20.745500,0.025
texnet2024uzna,POST,2024-10-25 13:40:44.105000,0.113,no pick,no pick
texnet2024uzmn,MB05,2024-10-25 13:25:51.238500,0.023,no pick,no pick
texnet2024uzmn,MBBB5,2024-10-25 13:25:51.064000,0.023,no pick,no pick
texnet2024uzml,HP01,2024-10-25 13:23:52.483804,0.001,no pick,no pick
texnet2024uzml,MBBB5,2024-10-25 13:23:56.732000,0.003,2024-10-25 13:24:10.232000,0.299
texnet2024uzml,MG01,2024-10-25 13:23:50.949915,0.07200000000000001,no pick,no pick
texnet2024uzml,SGCY,2024-10-25 13:23:50.945000,0.044000000000000004,no pick,no pick
texnet2024uzmi,CF01,2024-10-25 13:20:27.095000,0.003,no pick,no pick
texnet2024uzmi,GV03,2024-10-25 13:20:26.239000,0.401,no pick,no pick
texnet2024uzmi,MB03,2024-10-25 13:20:27.274500,0.013999999999999999,no pick,no pick
texnet2024uzmi,MB11,2024-10-25 13:20:27.530000,0.737,no pick,no pick
texnet2024uzmi,MBBB4,2024-10-25 13:20:28.544000,0.004,no pick,no pick
texnet2024uzmi,VW01,2024-10-25 13:20:25.371000,0.036000000000000004,no pick,no pick
texnet2024uzly,HP01,2024-10-25 13:11:18.064295,0.002,no pick,no pick
texnet2024uzly,MB03,2024-10-25 13:11:17.254500,0.019,no pick,no pick
texnet2024uzly,MB07,2024-10-25 13:11:17.448000,0.759,no pick,no pick
texnet2024uzly,MB11,2024-10-25 13:11:17.210000,0.444,2024-10-25 13:11:25.280000,0.038
texnet2024uzly,MID02,2024-10-25 13:11:17.110000,0.054000000000000006,2024-10-25 13:11:26.460000,0.04
texnet2024uzly,MID03,2024-10-25 13:11:17.780000,0.005,no pick,no pick
texnet2024uzly,OP01,2024-10-25 13:11:15.905000,0.043,no pick,no pick
texnet2024uzlo,MB04,2024-10-25 12:56:33.096000,0.015,no pick,no pick
texnet2024uzlo,SGCY,2024-10-25 12:56:33.325000,0.006,2024-10-25 12:56:47.235000,0.027
texnet2024uzlo,SM02,2024-10-25 12:56:31.039000,0.11699999999999999,no pick,no pick
texnet2024uzlo,SM03,2024-10-25 12:56:31.037000,0.807,no pick,no pick
texnet2024uysk,BB01,2024-10-25 03:16:13.495000,0.023,no pick,no pick
texnet2024uysk,HP01,2024-10-25 03:16:13.845826,0.7879999999999999,no pick,no pick
texnet2024uysk,MB21,2024-10-25 03:16:15.730000,0.013000000000000001,2024-10-25 03:16:26.680000,0.339
texnet2024uysk,ODSA,2024-10-25 03:16:15.140000,0.003,no pick,no pick
texnet2024uynr,HP01,2024-10-25 00:52:33.930011,0.032,no pick,no pick
texnet2024uynr,MB03,2024-10-25 00:52:33.744500,0.253,no pick,no pick
texnet2024uykv,MB11,2024-10-24 23:26:26.180000,0.002,2024-10-24 23:26:59.590000,0.062
texnet2024uykv,POST,2024-10-24 23:26:28.380000,0.003,no pick,no pick
texnet2024uykv,SD01,2024-10-24 23:26:25.947000,0.155,no pick,no pick
texnet2024uyjj,BB01,2024-10-24 22:42:00.775000,0.005,no pick,no pick
texnet2024uyjj,BW01,2024-10-24 22:42:00.021000,0.039,no pick,no pick
texnet2024uyjj,BW01,2024-10-24 22:42:41.021000,0.004,no pick,no pick
texnet2024uyjj,GV04,2024-10-24 22:42:00.603000,0.44799999999999995,2024-10-24 22:42:05.463000,0.268
texnet2024uyjj,MB18,2024-10-24 22:42:03.055000,0.003,no pick,no pick
texnet2024uyjj,MBBB3,2024-10-24 22:42:03.560000,0.003,no pick,no pick
texnet2024uyjj,SM04,2024-10-24 22:42:01.205000,0.672,2024-10-24 22:42:43.065000,0.334
texnet2024uyjj,SN02,2024-10-24 22:42:02.330000,0.001,no pick,no pick
texnet2024uxwh,CF01,2024-10-24 16:05:04.555000,0.084,no pick,no pick
texnet2024uxwh,MB11,2024-10-24 16:05:06.160000,0.068,2024-10-24 16:05:43.370000,0.233
texnet2024uxwh,ODSA,2024-10-24 16:05:07.330000,0.038,2024-10-24 16:05:08.480000,0.258
texnet2024uxwh,OZNA,2024-10-24 16:05:06.255000,0.332,no pick,no pick
texnet2024uxwh,SGCY,2024-10-24 16:05:06.815000,0.153,no pick,no pick
texnet2024uxwh,VW01,2024-10-24 16:05:03.991000,0.017,2024-10-24 16:05:07.621000,0.024
texnet2024uxpw,MB04,2024-10-24 12:50:52.856000,0.052000000000000005,no pick,no pick
texnet2024uxpw,MB11,2024-10-24 12:50:52.220000,0.08199999999999999,no pick,no pick
texnet2024uxpw,MNHN,2024-10-24 12:50:52.170000,0.03,2024-10-24 12:50:55.380000,0.054
texnet2024uvyd,MB13,2024-10-23 14:46:00.310000,0.018000000000000002,no pick,no pick
texnet2024uvyd,MB18,2024-10-23 14:46:01.310000,0.001,no pick,no pick
texnet2024uvyd,POST,2024-10-23 14:46:01.185000,0.452,no pick,no pick
texnet2024uvxx,MB04,2024-10-23 14:37:36.696000,0.042,2024-10-23 14:37:38.486000,0.204
texnet2024uvxx,MB11,2024-10-23 14:37:36.610000,0.002,no pick,no pick
