event_id,station,p_t,p_prob,s_t,s_prob
texnet2024vpte,APMT,2024-11-03 10:58:17.200000,0.006999999999999999,2024-11-03 10:59:09.530000,0.058
texnet2024vpte,BRDY,2024-11-03 10:58:17.235000,0.008,no pick,no pick
texnet2024vpte,BW01,2024-11-03 10:58:46.919000,0.8690000000000001,2024-11-03 10:58:51.149000,0.858
texnet2024vpte,DKNS,2024-11-03 10:58:17.535000,0.003,no pick,no pick
texnet2024vpte,HP01,2024-11-03 10:58:15.850386,0.898,2024-11-03 10:58:53.270386,0.589
texnet2024vpte,HP02,2024-11-03 10:58:17.968961,0.053,2024-11-03 10:58:55.298961,0.205
texnet2024vpte,MB03,2024-11-03 10:58:51.141500,0.595,2024-11-03 10:58:58.401500,0.794
texnet2024vpte,MNHN,2024-11-03 10:58:17.605000,0.002,no pick,no pick
texnet2024vpte,OZNA,2024-11-03 10:58:17.395000,0.004,no pick,no pick
texnet2024vpte,POST,2024-11-03 10:58:17.335000,0.006,2024-11-03 10:59:03.525000,0.111
texnet2024vpte,SGCY,2024-11-03 10:58:45.075000,0.879,2024-11-03 10:58:47.915000,0.822
texnet2024twkd,CF01,2024-10-09 15:17:08.211000,0.086,2024-10-09 15:17:39.361000,0.48
texnet2024twkd,POST,2024-10-09 15:17:48.550000,0.001,2024-10-09 15:17:59.790000,0.7020000000000001
texnet2024twkd,SN02,2024-10-09 15:17:40.160000,0.887,2024-10-09 15:17:43.240000,0.768
texnet2024twkd,SN07,2024-10-09 15:17:42.840500,0.005,2024-10-09 15:17:47.900500,0.42700000000000005
texnet2024vejo,CW01,2024-10-28 05:37:36.677000,0.513,2024-10-28 05:37:41.927000,0.796
texnet2024vejo,CW01,2024-10-28 05:37:36.717000,0.408,2024-10-28 05:37:41.937000,0.842
texnet2024vejo,EE04,2024-10-28 05:37:31.825000,0.9079999999999999,2024-10-28 05:37:33.525000,0.706
texnet2024vejo,GV04,2024-10-28 05:37:33.783000,0.762,2024-10-28 05:37:37.073000,0.871
texnet2024vejo,MB04,2024-10-28 05:37:37.772000,0.01,2024-10-28 05:37:43.942000,0.767
texnet2024vejo,MB05,2024-10-28 05:37:35.028500,0.914,2024-10-28 05:37:39.418500,0.863
texnet2024vejo,MB07,2024-10-28 05:37:37.920000,0.84,2024-10-28 05:37:43.980000,0.854
texnet2024vejo,MB13,2024-10-28 05:37:36.740000,0.784,2024-10-28 05:37:41.940000,0.802
texnet2024vejo,MB15,2024-10-28 05:37:31.740000,0.9279999999999999,2024-10-28 05:37:33.600000,0.603
texnet2024vejo,MB15,2024-10-28 05:37:32.590000,0.002,2024-10-28 05:37:33.640000,0.225
texnet2024vejo,MB16,2024-10-28 05:37:33.050000,0.58,2024-10-28 05:37:35.830000,0.716
texnet2024vejo,MB16,2024-10-28 05:37:33.060000,0.45899999999999996,2024-10-28 05:37:35.830000,0.632
texnet2024vejo,MBBB1,2024-10-28 05:37:33.880000,0.033,no pick,no pick
texnet2024vejo,MBBB5,2024-10-28 05:37:32.318000,0.889,2024-10-28 05:37:34.528000,0.793
texnet2024vejo,MG01,2024-10-28 05:37:31.681683,0.899,2024-10-28 05:37:33.521683,0.729
texnet2024vejo,MID02,2024-10-28 05:37:35.305000,0.845,2024-10-28 05:37:39.585000,0.77
texnet2024vejo,MNHN,2024-10-28 05:37:01.330000,0.066,no pick,no pick
texnet2024vejo,OG01,2024-10-28 05:37:39.280000,0.711,2024-10-28 05:37:46.340000,0.8
texnet2024vejo,OG02,2024-10-28 05:37:39.160000,0.8390000000000001,2024-10-28 05:37:46.010000,0.666
texnet2024vejo,POST,2024-10-28 05:37:43.985000,0.046,2024-10-28 05:37:55.375000,0.576
texnet2024vejo,SD01,2024-10-28 05:37:32.887000,0.8140000000000001,2024-10-28 05:37:35.547000,0.805
texnet2024vejo,SM02,2024-10-28 05:37:31.339000,0.9470000000000001,2024-10-28 05:37:32.889000,0.742
texnet2024vejo,SM02,2024-10-28 05:38:22.219000,0.565,2024-10-28 05:38:23.739000,0.402
texnet2024vejo,SM03,2024-10-28 05:37:33.697000,0.524,2024-10-28 05:37:36.747000,0.755
texnet2024vejo,SM04,2024-10-28 05:37:30.945000,0.9440000000000001,2024-10-28 05:37:32.205000,0.761
texnet2024vejo,SM04,2024-10-28 05:38:21.845000,0.912,2024-10-28 05:38:23.095000,0.83
texnet2024vejo,SN10,2024-10-28 05:37:02.924000,0.040999999999999995,no pick,no pick
texnet2024uvgv,AT01,2024-10-23 06:00:43.981000,0.004,2024-10-23 06:00:52.771000,0.617
texnet2024uvgv,BW01,2024-10-23 06:00:36.711000,0.905,2024-10-23 06:00:40.551000,0.861
texnet2024uvgv,EE03,2024-10-23 06:00:45.955000,0.017,2024-10-23 06:00:57.145000,0.568
texnet2024uvgv,GV02,2024-10-23 06:00:38.231000,0.815,2024-10-23 06:00:43.041000,0.723
texnet2024uvgv,GV03,2024-10-23 06:00:40.809000,0.745,2024-10-23 06:00:47.449000,0.716
texnet2024uvgv,HP02,2024-10-23 06:00:39.079243,0.821,2024-10-23 06:00:44.629243,0.779
texnet2024uvgv,MB03,2024-10-23 06:00:42.082500,0.8640000000000001,2024-10-23 06:00:49.662500,0.034
texnet2024uvgv,MB14,2024-10-23 06:00:40.566000,0.86,2024-10-23 06:00:46.976000,0.824
texnet2024uvgv,MBBB3,2024-10-23 06:00:43.522000,0.061,2024-10-23 06:00:51.622000,0.045
texnet2024uvgv,MBBB4,2024-10-23 06:00:46.166000,0.113,2024-10-23 06:00:56.086000,0.466
texnet2024uvgv,OP01,2024-10-23 06:00:38.869000,0.899,2024-10-23 06:00:44.189000,0.838
texnet2024uvgv,OZNA,2024-10-23 06:00:53.975000,0.74,no pick,no pick
texnet2024uvgv,SGCY,2024-10-23 06:00:36.055000,0.833,2024-10-23 06:00:39.525000,0.757
texnet2024uvgv,SN08,2024-10-23 06:00:43.502000,0.8370000000000001,2024-10-23 06:00:52.052000,0.807
texnet2024uvgv,SN09,2024-10-23 06:00:41.045000,0.003,2024-10-23 06:00:50.995000,0.208
texnet2024uywk,AT01,2024-10-25 05:18:07.395000,0.053,2024-10-25 05:18:41.325000,0.529
texnet2024uywk,EE03,2024-10-25 05:18:40.455000,0.8270000000000001,2024-10-25 05:18:44.385000,0.81
texnet2024uywk,MB02,2024-10-25 05:18:08.514500,0.259,2024-10-25 05:18:55.984500,0.447
texnet2024uywk,MB07,2024-10-25 05:18:41.556000,0.662,2024-10-25 05:18:46.396000,0.66
texnet2024uywk,MB18,2024-10-25 05:18:08.565000,0.526,2024-10-25 05:18:46.375000,0.429
texnet2024uywk,MBBB3,2024-10-25 05:18:39.018000,0.7929999999999999,2024-10-25 05:18:41.728000,0.446
texnet2024uywk,MBBB4,2024-10-25 05:18:36.260000,0.903,2024-10-25 05:18:37.200000,0.883
texnet2024uywk,MBBB6,2024-10-25 05:18:37.106000,0.909,2024-10-25 05:18:38.776000,0.813
texnet2024uywk,MID03,2024-10-25 05:18:41.210000,0.868,2024-10-25 05:18:45.720000,0.827
texnet2024uywk,MNHN,2024-10-25 05:18:08.470000,0.009000000000000001,2024-10-25 05:19:02.410000,0.507
texnet2024uywk,OG01,2024-10-25 05:18:08.054000,0.062,2024-10-25 05:18:46.984000,0.822
texnet2024uywk,OG02,2024-10-25 05:18:42.294000,0.767,2024-10-25 05:18:47.644000,0.827
texnet2024uywk,OZNA,2024-10-25 05:18:09.475000,0.003,2024-10-25 05:18:56.335000,0.788
texnet2024uywk,POST,2024-10-25 05:18:08.580000,0.002,no pick,no pick
texnet2024uywk,SGCY,2024-10-25 05:18:47.705000,0.157,2024-10-25 05:18:57.245000,0.701
texnet2024uujm,APMT,2024-10-22 18:13:37.420000,0.46299999999999997,2024-10-22 18:13:46.280000,0.435
texnet2024uujm,APMT,2024-10-22 18:13:36.960000,0.698,2024-10-22 18:13:46.310000,0.496
texnet2024uujm,BW01,2024-10-22 18:12:56.301000,0.33299999999999996,2024-10-22 18:13:48.691000,0.749
texnet2024uujm,BW01,2024-10-22 18:13:38.701000,0.32,2024-10-22 18:13:48.641000,0.545
texnet2024uujm,CF01,2024-10-22 18:13:26.185000,0.905,2024-10-22 18:13:26.995000,0.918
texnet2024uujm,MB05,2024-10-22 18:12:58.906500,0.035,2024-10-22 18:13:51.366500,0.113
texnet2024uujm,MB05,2024-10-22 18:13:44.956500,0.639,2024-10-22 18:14:05.266500,0.441
texnet2024uujm,MO01,2024-10-22 18:13:39.509000,0.5579999999999999,2024-10-22 18:13:49.949000,0.446
texnet2024uujm,MO01,2024-10-22 18:13:39.509000,0.8640000000000001,2024-10-22 18:13:49.929000,0.132
texnet2024uujm,POST,2024-10-22 18:13:40.115000,0.902,2024-10-22 18:13:50.585000,0.715
texnet2024uujm,POST,2024-10-22 18:13:40.115000,0.8690000000000001,2024-10-22 18:13:50.605000,0.821
texnet2024uujm,SGCY,2024-10-22 18:12:58.975000,0.005,no pick,no pick
texnet2024uujm,SGCY,2024-10-22 18:13:43.985000,0.23800000000000002,2024-10-22 18:13:56.985000,0.395
texnet2024uujm,SN02,2024-10-22 18:13:30.350000,0.8809999999999999,2024-10-22 18:13:34.280000,0.552
texnet2024uujm,SN02,2024-10-22 18:13:30.350000,0.517,2024-10-22 18:13:34.230000,0.179
texnet2024uujm,SN03,2024-10-22 18:13:31.055000,0.812,2024-10-22 18:13:35.505000,0.829
texnet2024uujm,SN03,2024-10-22 18:13:31.235000,0.06,2024-10-22 18:13:35.505000,0.797
texnet2024uujm,SN04,2024-10-22 18:13:29.880000,0.759,2024-10-22 18:13:33.410000,0.618
texnet2024uujm,SN07,2024-10-22 18:13:32.248500,0.9079999999999999,2024-10-22 18:13:37.218500,0.863
texnet2024uujm,SN07,2024-10-22 18:13:32.258500,0.877,2024-10-22 18:13:37.218500,0.855
texnet2024uujm,SN08,2024-10-22 18:13:32.544000,0.8809999999999999,2024-10-22 18:13:37.934000,0.849
texnet2024uujm,SN08,2024-10-22 18:13:32.544000,0.773,2024-10-22 18:13:37.934000,0.858
texnet2024uujm,SN09,2024-10-22 18:13:28.835000,0.35200000000000004,2024-10-22 18:13:31.565000,0.696
texnet2024uujm,SN10,2024-10-22 18:13:30.278000,0.888,2024-10-22 18:13:33.918000,0.859
